timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724393580916,145,ListMajorValidSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-49,,true,,1710,1706,71,71,null,145,13039,7
1724393594106,58,Get_StateCity,200,OK,Onboarding_List APIs 2-80,text,true,,918,1672,71,71,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,58,0,5
1724393583744,58,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-80,,true,,918,1672,71,71,null,58,10362,5
1724393594170,55,List_occupation,200,OK,Onboarding_List APIs 2-81,text,true,,1938,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-occupation/,55,0,0
1724393584365,55,Listoccupation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-81,,true,,1938,1658,71,71,null,55,9805,0
1724393594250,61,Get_application_Status/onboarding/get-application-status/-5,200,OK,Onboarding_List APIs 2-32,text,true,,1220,1665,71,71,https://uat-api.nmy-internal.com/onboarding/get-application-status/,61,0,0
1724393582099,61,Get_application_Status,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-32,,true,,1220,1665,71,71,null,61,12151,0
1724393594482,64,List_Enrollment,200,OK,Onboarding_List APIs 2-64,text,true,,1087,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,64,0,0
1724393579327,64,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-64,,true,,1087,1658,71,71,null,64,15155,0
1724393594640,53,List_Countries,200,OK,Onboarding_List APIs 2-90,text,true,,3925,1657,71,71,https://uat-api.nmy-internal.com/onboarding/list-countries/,53,0,0
1724393581609,53,ListCountries,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-90,,true,,3925,1657,71,71,null,53,13031,0
1724393594781,70,Get_StateCity,200,OK,Onboarding_List APIs 2-72,text,true,,918,1672,71,71,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,70,0,0
1724393581097,70,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-72,,true,,918,1672,71,71,null,70,13684,0
1724393595108,89,Valid_Date,200,OK,Onboarding_List APIs 2-50,text,true,,886,1761,71,71,https://uat-api.nmy-internal.com/onboarding/zip-validate/,89,0,7
1724393583702,89,ValidDate,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-50,,true,,886,1761,71,71,null,89,11407,7
1724393595087,515,Get_StateCity,200,OK,Onboarding_List APIs 2-77,text,true,,918,1672,71,71,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,515,0,6
1724393581005,515,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-77,,true,,918,1672,71,71,null,515,14082,6
1724393595016,676,List_School,200,OK,Onboarding_List APIs 2-59,text,true,,111716,1700,71,71,https://uat-api.nmy-internal.com/onboarding/list-school/,647,0,0
1724393582000,676,ListSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-59,,true,,111716,1700,71,71,null,647,13021,0
1724393595584,119,List_MajorValidSchool,200,OK,Onboarding_List APIs 2-51,text,true,,1710,1706,71,71,https://uat-api.nmy-internal.com/onboarding/list-major/,119,0,6
1724393584335,119,ListMajorValidSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-51,,true,,1710,1706,71,71,null,119,11249,6
1724393595701,101,Get_StateCity,200,OK,Onboarding_List APIs 2-74,text,true,,918,1672,71,71,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,101,0,8
1724393582191,101,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-74,,true,,918,1672,71,71,null,101,13510,8
1724393595905,59,List_Countries,200,OK,Onboarding_List APIs 2-92,text,true,,3925,1657,71,71,https://uat-api.nmy-internal.com/onboarding/list-countries/,59,0,0
1724393583930,59,ListCountries,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-92,,true,,3925,1657,71,71,null,59,11975,0
1724393596145,65,List_Enrollment,200,OK,Onboarding_List APIs 2-60,text,true,,1087,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,65,0,0
1724393587288,65,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-60,,true,,1087,1658,71,71,null,65,8857,0
1724393596398,76,List_Countries,200,OK,Onboarding_List APIs 2-86,text,true,,3925,1657,71,71,https://uat-api.nmy-internal.com/onboarding/list-countries/,76,0,0
1724393584503,76,ListCountries,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-86,,true,,3925,1657,71,71,null,76,11896,0
1724393596493,95,Get_application_Status/onboarding/get-application-status/-5,200,OK,Onboarding_List APIs 2-39,text,true,,1220,1665,71,71,https://uat-api.nmy-internal.com/onboarding/get-application-status/,95,0,0
1724393588209,95,Get_application_Status,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-39,,true,,1220,1665,71,71,null,95,8284,0
1724393596677,70,List_States,200,OK,Onboarding_List APIs 2-84,text,true,,1612,1654,71,71,https://uat-api.nmy-internal.com/onboarding/list-states/,70,0,0
1724393586707,70,ListStates,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-84,,true,,1612,1654,71,71,null,70,9970,0
1724393596672,107,Get_User_info/identity/get-user-info/-4,200,OK,Onboarding_List APIs 2-36,text,true,,1216,1674,71,71,https://uat-api.nmy-internal.com/identity/get-user-info/,107,0,0
1724393582375,107,Get_User_info,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-36,,true,,1216,1674,71,71,null,107,14297,0
1724393596765,53,Valid_Date,200,OK,Onboarding_List APIs 2-55,text,true,,886,1761,71,71,https://uat-api.nmy-internal.com/onboarding/zip-validate/,53,0,5
1724393581962,53,ValidDate,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-55,,true,,886,1761,71,71,null,53,14803,5
1724393596838,69,Standard_App_Settings/onboarding/standard-application-settings,200,OK,Onboarding_List APIs 2-27,text,true,,23209,1703,71,71,https://uat-api.nmy-internal.com/onboarding/standard-application-settings,69,0,0
1724393587376,69,Standard_App_Settings,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-27,,true,,23209,1703,71,71,null,69,9462,0
1724393596908,0,Debug Sampler,200,OK,Onboarding_List APIs 2-27,text,true,,2508,0,71,71,null,0,0,0
1724393597090,96,Standard_App_Settings/onboarding/standard-application-settings,200,OK,Onboarding_List APIs 2-35,text,true,,23209,1703,70,70,https://uat-api.nmy-internal.com/onboarding/standard-application-settings,96,0,0
1724393588696,96,Standard_App_Settings,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-35,,true,,23209,1703,70,70,null,96,8395,0
1724393597187,0,Debug Sampler,200,OK,Onboarding_List APIs 2-35,text,true,,2507,0,70,70,null,0,0,0
1724393597170,54,List_Countries,200,OK,Onboarding_List APIs 2-88,text,true,,3925,1657,69,69,https://uat-api.nmy-internal.com/onboarding/list-countries/,54,0,0
1724393585717,54,ListCountries,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-88,,true,,3925,1657,69,69,null,54,11453,0
1724393597304,59,Get_application_Status/onboarding/get-application-status/-5,200,OK,Onboarding_List APIs 2-44,text,true,,1220,1665,69,69,https://uat-api.nmy-internal.com/onboarding/get-application-status/,59,0,0
1724393589201,59,Get_application_Status,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-44,,true,,1220,1665,69,69,null,59,8103,0
1724393597430,74,List_Enrollment,200,OK,Onboarding_List APIs 2-61,text,true,,1087,1658,69,69,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,74,0,0
1724393585183,74,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-61,,true,,1087,1658,69,69,null,74,12248,0
1724393597515,90,Get_application_Status/onboarding/get-application-status/-5,200,OK,Onboarding_List APIs 2-34,text,true,,1220,1665,69,69,https://uat-api.nmy-internal.com/onboarding/get-application-status/,90,0,0
1724393586103,90,Get_application_Status,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-34,,true,,1220,1665,69,69,null,90,11412,0
1724393597493,115,Get_User_Application_Details/onboarding/get-user-application-details/-9,200,OK,Onboarding_List APIs 2-41,text,true,,1429,1671,69,69,https://uat-api.nmy-internal.com/onboarding/get-user-application-details/,115,0,0
1724393588295,115,Get_User_Application_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-41,,true,,1429,1671,69,69,null,115,9198,0
1724393597648,55,List_Student,200,OK,Onboarding_List APIs 2-100,text,true,,995,1655,69,69,https://uat-api.nmy-internal.com/onboarding/list-student/,55,0,0
1724393588486,55,ListStudent,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-100,,true,,995,1655,69,69,null,55,9162,0
1724393597664,59,List_occupation,200,OK,Onboarding_List APIs 2-83,text,true,,1938,1658,69,69,https://uat-api.nmy-internal.com/onboarding/list-occupation/,59,0,0
1724393582060,59,Listoccupation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-83,,true,,1938,1658,69,69,null,59,15604,0
1724393597706,55,List_Education,200,OK,Onboarding_List APIs 2-68,text,true,,1158,1657,69,69,https://uat-api.nmy-internal.com/onboarding/list-education/,55,0,0
1724393582161,55,ListEducation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-68,,true,,1158,1657,69,69,null,55,15546,0
1724393597950,64,List_Citizenship,200,OK,Onboarding_List APIs 2-70,text,true,,1073,1659,69,69,https://uat-api.nmy-internal.com/onboarding/list-citizenship/,64,0,0
1724393589455,64,ListCitizenship,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-70,,true,,1073,1659,69,69,null,64,8495,0
1724393598034,147,List_Citizenship,200,OK,Onboarding_List APIs 2-69,text,true,,1073,1659,69,69,https://uat-api.nmy-internal.com/onboarding/list-citizenship/,147,0,0
1724393583606,147,ListCitizenship,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-69,,true,,1073,1659,69,69,null,147,14428,0
1724393598397,97,Standard_App_Settings/onboarding/standard-application-settings,200,OK,Onboarding_List APIs 2-23,text,true,,23209,1703,69,69,https://uat-api.nmy-internal.com/onboarding/standard-application-settings,97,0,0
1724393589627,97,Standard_App_Settings,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-23,,true,,23209,1703,69,69,null,97,8770,0
1724393598494,1,Debug Sampler,200,OK,Onboarding_List APIs 2-23,text,true,,2508,0,69,69,null,0,0,0
1724393598540,58,Get_StateCity,200,OK,Onboarding_List APIs 2-78,text,true,,918,1672,68,68,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,58,0,0
1724393588758,58,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-78,,true,,918,1672,68,68,null,58,9782,0
1724393598863,74,List_Enrollment,200,OK,Onboarding_List APIs 2-65,text,true,,1087,1658,68,68,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,74,0,0
1724393585205,74,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-65,,true,,1087,1658,68,68,null,74,13658,0
1724393599038,158,Get_StateCity,200,OK,Onboarding_List APIs 2-79,text,true,,918,1672,68,68,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,158,0,0
1724393591820,158,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-79,,true,,918,1672,68,68,null,158,7218,0
